# observation_id: ca3ed6e2-7e49-11e9-9029-0a580a8003e9
# metadata: https://api.solarforecastarbiter.org/observations/ca3ed6e2-7e49-11e9-9029-0a580a8003e9/metadata
timestamp,value,quality_flag
20180102T12:20:00+0000,0.0,18
20180102T12:25:00+0000,0.0,18
20180102T12:30:00+0000,0.0,18
20180102T12:35:00+0000,0.0,18
20180102T12:40:00+0000,0.0,18
20180102T12:45:00+0000,1.0,2
20180102T12:50:00+0000,4.0,2
20180102T12:55:00+0000,6.0,2
20180102T13:00:00+0000,38.0,2
20180102T13:05:00+0000,47.0,2
20180102T13:10:00+0000,48.0,2
20180102T13:15:00+0000,69.0,2
20180102T13:20:00+0000,96.0,2
20180102T13:25:00+0000,110.0,2
20180102T13:30:00+0000,134.0,2
20180102T13:35:00+0000,146.0,2
20180102T13:40:00+0000,158.0,2
20180102T13:45:00+0000,169.0,2
20180102T13:50:00+0000,180.0,2
20180102T13:55:00+0000,191.0,2
20180102T14:00:00+0000,201.0,2
20180102T14:05:00+0000,212.0,2
20180102T14:10:00+0000,223.0,2
20180102T14:15:00+0000,233.0,2
20180102T14:20:00+0000,242.0,2
20180102T14:25:00+0000,252.0,2
20180102T14:30:00+0000,262.0,2
20180102T14:35:00+0000,271.0,2
20180102T14:40:00+0000,280.0,2
20180102T14:45:00+0000,289.0,2
20180102T14:50:00+0000,298.0,2
20180102T14:55:00+0000,306.0,2
20180102T15:00:00+0000,314.0,2
20180102T15:05:00+0000,322.0,2
20180102T15:10:00+0000,329.0,2
20180102T15:15:00+0000,336.0,2
20180102T15:20:00+0000,343.0,2
20180102T15:25:00+0000,350.0,2
20180102T15:30:00+0000,356.0,2
20180102T15:35:00+0000,362.0,2
20180102T15:40:00+0000,366.0,2
20180102T15:45:00+0000,372.0,2
20180102T15:50:00+0000,376.0,2
20180102T15:55:00+0000,380.0,2
20180102T16:00:00+0000,385.0,2
20180102T16:05:00+0000,388.0,2
20180102T16:10:00+0000,393.0,2
20180102T16:15:00+0000,394.0,2
20180102T16:20:00+0000,394.0,2
20180102T16:25:00+0000,401.0,2
20180102T16:30:00+0000,402.0,2
20180102T16:35:00+0000,403.0,2
20180102T16:40:00+0000,403.0,2
20180102T16:45:00+0000,403.0,2
20180102T16:50:00+0000,403.0,2
20180102T16:55:00+0000,403.0,2
20180102T17:00:00+0000,402.0,2
20180102T17:05:00+0000,402.0,2
20180102T17:10:00+0000,402.0,2
20180102T17:15:00+0000,405.0,2
20180102T17:20:00+0000,398.0,2
20180102T17:25:00+0000,391.0,2
